A2000J01
Getafe,27,19,6,8,13,26,38,26
Compostela,27,20,6,7,14,24,45,25
Lleida,27,21,3,10,14,22,36,19
Univer. L.P.,27,22,2,13,12,18,36,19
A2000J28
Sevilla,28,1,15,7,6,43,26,52
Tenerife,28,2,14,8,6,42,22,50
Betis,28,3,13,10,5,28,18,49
Salamanca,28,4,14,5,9,34,28,47
Atlético,28,5,12,9,7,40,28,45
Albacete,28,6,12,9,7,29,24,45
Recreativo,28,7,10,14,4,29,18,44
Eibar,28,8,9,13,6,22,17,40
Sporting,28,9,10,10,8,34,30,40
Murcia,28,10,10,9,9,41,35,39
Badajoz,28,11,8,15,5,25,23,39
Levante,28,12,8,14,6,33,29,38
Córdoba,28,13,9,9,10,25,27,36
Extremadura,28,14,10,6,12,27,32,36
Leganés,28,15,6,14,8,35,32,32
Real Jaén,28,16,7,10,11,15,28,31
R. Ferrol,28,17,8,7,13,30,35,31
Elche,28,18,6,12,10,28,36,30
Getafe,28,19,6,8,14,28,42,26
Compostela,28,20,6,7,15,24,49,25
Univer. L.P.,28,21,2,14,12,19,37,20
Lleida,28,22,3,10,15,23,38,19
A2000J29
Sevilla,29,1,16,7,6,44,26,55
Tenerife,29,2,15,8,6,44,22,53
Betis,29,3,13,10,6,28,20,49
Recreativo,29,4,11,14,4,33,19,47
Salamanca,29,5,14,5,10,34,30,47
Albacete,29,6,12,10,7,29,24,46
Atlético,29,7,12,9,8,41,30,45
Levante,29,8,9,14,6,35,29,41
Eibar,29,9,9,13,7,22,18,40
Sporting,29,10,10,10,9,35,32,40
Badajoz,29,11,8,16,5,25,23,40
Murcia,29,12,10,9,10,42,39,39
Córdoba,29,13,9,10,10,25,27,37
Extremadura,29,14,10,7,12,30,35,37
Real Jaén,29,15,8,10,11,16,28,34
Leganés,29,16,6,15,8,35,32,33
Elche,29,17,7,12,10,30,37,33
R. Ferrol,29,18,8,7,14,31,37,31
Getafe,29,19,6,8,15,28,43,26
Compostela,29,20,6,8,15,27,52,26
Univer. L.P.,29,21,3,14,12,21,38,23
Lleida,29,22,4,10,15,25,39,22
A2000J30
Sevilla,30,1,17,7,6,47,28,58
Tenerife,30,2,15,9,6,45,23,54
Recreativo,30,3,12,14,4,34,19,50
Albacete,30,4,13,10,7,31,24,49
Betis,30,5,13,10,7,28,21,49
Salamanca,30,6,14,5,11,34,31,47
Atlético,30,7,12,10,8,42,31,46
Sporting,30,8,11,10,9,36,32,43
Levante,30,9,9,14,7,37,32,41
Eibar,30,10,9,14,7,22,18,41
Badajoz,30,11,8,17,5,26,24,41
Murcia,30,12,10,10,10,44,41,40
Extremadura,30,13,11,6,13,30,35,39
Córdoba,30,14,9,11,10,26,28,38
Real Jaén,30,15,8,11,11,18,30,35
Leganés,30,16,6,15,9,35,33,33
Elche,30,17,7,12,11,30,39,33
R. Ferrol,30,18,8,8,14,32,38,32
Getafe,30,19,7,8,15,30,44,29
Compostela,30,20,7,8,15,27,51,29
Univer. L.P.,30,21,3,15,12,22,39,24
Lleida,30,22,4,10,16,26,41,22
A2000J31
Sevilla,31,1,17,8,6,48,29,59
Tenerife,31,2,16,9,6,47,24,57
Betis,31,3,14,10,7,29,21,52
Recreativo,31,4,12,15,4,35,20,51
Atlético,31,5,13,10,8,44,31,49
Albacete,31,6,13,10,8,33,28,49
Salamanca,31,7,14,5,12,35,33,47
Sporting,31,8,12,10,9,40,34,46
Levante,31,9,10,14,7,40,34,44
Eibar,31,10,9,14,8,22,19,41
Badajoz,31,11,8,17,6,27,26,41
Córdoba,31,12,10,11,10,28,29,41
Murcia,31,13,10,10,11,44,43,40
Extremadura,31,14,11,7,13,31,36,40
Real Jaén,31,15,9,11,11,20,31,38
Leganés,31,16,7,15,9,36,33,36
Elche,31,17,7,12,12,31,41,33
R. Ferrol,31,18,8,9,14,33,39,33
Compostela,31,19,8,8,15,29,51,32
Getafe,31,20,7,8,16,30,45,29
Univer. L.P.,31,21,3,15,13,22,41,24
Lleida,31,22,4,10,17,28,44,22
A2000J32
Sevilla,32,1,17,8,7,48,30,59
Tenerife,32,2,16,9,7,48,26,57
Betis,32,3,15,10,7,32,22,55
Recreativo,32,4,12,16,4,35,20,52
Atlético,32,5,14,10,8,46,32,52
Albacete,32,6,14,10,8,35,29,52
Sporting,32,7,13,10,9,42,35,49
Salamanca,32,8,14,5,13,36,35,47
Levante,32,9,10,14,8,40,35,44
Córdoba,32,10,11,11,10,30,29,44
Extremadura,32,11,12,7,13,32,36,43
Eibar,32,12,9,15,8,23,20,42
Real Jaén,32,13,10,11,11,21,31,41
Badajoz,32,14,8,17,7,27,27,41
Murcia,32,15,10,10,12,45,46,40
Leganés,32,16,8,15,9,37,33,39
Compostela,32,17,9,8,15,31,52,35
R. Ferrol,32,18,8,10,14,34,40,34
Elche,32,19,7,12,13,32,43,33
Getafe,32,20,7,8,17,31,47,29
Univer. L.P.,32,21,3,15,14,22,43,24
Lleida,32,22,4,11,17,28,44,23
A2000J33
Sevilla,33,1,18,8,7,50,30,62
Betis,33,2,16,10,7,34,23,58
Tenerife,33,3,16,9,8,48,27,57
Atlético,33,4,15,10,8,48,32,55
Recreativo,33,5,12,17,4,36,21,53
Albacete,33,6,14,11,8,35,29,53
Sporting,33,7,13,10,10,43,38,49
